20, 0, 0, 0, 0, 1, 0, 0, 0, 
40, 0, 0, 0, 0, 1, 0, 0, 0, 
60, 0, 0, 0, 0, 1, 0, 0, 0, 
80, 0, 0, 0, 0, 1, 0, 0, 0, 
100, 0, 0, 0, 0, 1, 0, 0, 0, 
120, 0, 0, 0, 0, 1, 0, 0, 0, 
140, 0, 0, 0, 0, 1, 0, 0, 0, 
160, 0, 0, 0, 0, 1, 0, 0, 0, 
180, 0, 0, 0, 0, 1, 0, 0, 0, 
200, 0, 0, 0, 0, 1, 0, 0, 0, 
220, 0, 0, 0, 0, 1, 0, 0, 0, 
240, 0, 0, 0, 0, 1, 0, 0, 0, 
260, 0, 0, 0, 0, 1, 0, 0, 0, 
280, 0, 0, 0, 0, 1, 0, 0, 0, 
300, 0, 0, 0, 0, 1, 0, 0, 0, 
320, 0, 0, 0, 0, 1, 0, 0, 0, 
340, 0, 0, 0, 0, 1, 0, 0, 0, 
360, 0, 0, 0, 0, 1, 0, 0, 0, 
380, 0, 0, 0, 0, 1, 0, 0, 0, 
400, 0, 0, 0, 0, 1, 0, 0, 0, 
420, 0, 0, 0, 0, 1, 0, 0, 0, 
440, 0, 0, 0, 0, 1, 0, 0, 0, 
460, 0, 0, 0, 0, 1, 0, 0, 0, 
480, 0, 0, 0, 0, 1, 0, 0, 0, 
500, 0, 0, 0, 0, 1, 0, 0, 0, 
520, 0, 0, 0, 0, 1, 0, 0, 0, 
540, 0, 0, 0, 0, 1, 0, 0, 0, 
560, 0, 0, 0, 0, 1, 0, 0, 0, 
580, 0, 0, 0, 0, 1, 0, 0, 0, 
600, 0, 0, 0, 0, 1, 0, 0, 0, 
620, 0, 0, 0, 0, 1, 0, 0, 0, 
640, 0, 0, 0, 0, 1, 0, 0, 0, 
660, 0, 0, 0, 0, 1, 0, 0, 0, 
680, 0, 0, 0, 0, 1, 0, 0, 0, 
700, 0, 0, 0, 0, 1, 0, 0, 0, 
720, 0, 0, 0, 0, 1, 0, 0, 0, 
740, 0, 0, 0, 0, 1, 0, 0, 0, 
760, 0, 0, 0, 0, 1, 0, 0, 0, 
780, 0, 0, 0, 0, 1, 0, 0, 0, 
800, 0, 0, 0, 0, 1, 0, 0, 0, 
820, 0, 0, 0, 0, 1, 0, 0, 0, 
840, 0, 0, 0, 0, 1, 0, 0, 0, 
860, 0, 0, 0, 0, 1, 0, 0, 0, 
880, 0, 0, 0, 0, 1, 0, 0, 0, 
900, 0, 0, 0, 0, 1, 0, 0, 0, 
920, 0, 0, 0, 0, 1, 0, 0, 0, 
940, 0, 0, 0, 0, 1, 0, 0, 0, 
960, 0, 0, 0, 0, 1, 0, 0, 0, 
980, 0, 0, 0, 0, 1, 0, 0, 0, 
1000, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 
1020, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 
1040, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 
1060, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 
1080, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 
1100, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 
1120, 0, 0, 0, 0, 0.666667, 0.333333, 0, 0, 
1140, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1160, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1180, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1200, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1220, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1240, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1260, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1280, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1300, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1320, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1340, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1360, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1380, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1400, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1420, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1440, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1460, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1480, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1500, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
1520, 0, 0, 0, 0.333333, 0.333333, 0.333333, 0, 0, 
